iter	Passed	Remaining
0	125	125447
1	129	64589
2	131	43867
3	134	33456
4	136	27246
5	139	23096
6	141	20095
7	143	17824
8	145	16065
9	148	14750
10	153	13824
11	157	12928
12	159	12074
13	160	11294
14	162	10659
15	164	10102
16	167	9657
17	168	9210
18	170	8794
19	172	8441
20	173	8092
21	175	7787
22	177	7524
23	179	7293
24	184	7177
25	187	7010
26	189	6828
27	191	6652
28	193	6486
29	196	6346
30	197	6186
31	200	6060
32	202	5945
33	205	5830
34	207	5713
35	209	5597
36	211	5516
37	214	5417
38	216	5335
39	219	5257
40	220	5168
41	222	5083
42	224	4999
43	226	4921
44	228	4849
45	230	4787
46	233	4741
47	236	4691
48	238	4629
49	240	4567
50	242	4513
51	245	4475
52	247	4428
53	250	4384
54	252	4332
55	253	4281
56	255	4231
57	258	4190
58	259	4145
59	263	4132
60	266	4102
61	268	4064
62	270	4024
63	272	3984
64	275	3964
65	279	3955
66	286	3984
67	287	3944
68	289	3902
69	291	3868
70	293	3842
71	296	3818
72	298	3794
73	300	3765
74	302	3733
75	305	3710
76	307	3684
77	309	3660
78	311	3633
79	313	3608
80	315	3581
81	317	3554
82	319	3528
83	322	3513
84	324	3494
85	327	3476
86	329	3454
87	331	3433
88	334	3427
89	336	3407
90	342	3416
91	345	3407
92	347	3389
93	349	3367
94	351	3350
95	353	3330
96	355	3312
97	358	3300
98	361	3288
99	363	3271
100	366	3264
101	369	3254
102	372	3240
103	374	3224
104	376	3208
105	378	3190
106	380	3175
107	382	3161
108	384	3146
109	387	3135
110	389	3121
111	391	3105
112	393	3089
113	395	3074
114	397	3060
115	399	3045
116	401	3033
117	404	3022
118	406	3008
119	408	2992
120	409	2977
121	411	2965
122	414	2955
123	417	2948
124	419	2934
125	421	2923
126	423	2912
127	425	2898
128	428	2893
129	431	2884
130	433	2878
131	436	2870
132	438	2858
133	440	2846
134	442	2834
135	444	2824
136	446	2813
137	448	2803
138	450	2792
139	452	2781
140	454	2769
141	456	2757
142	459	2755
143	461	2745
144	464	2736
145	466	2726
146	468	2717
147	470	2707
148	472	2698
149	474	2690
150	476	2680
151	478	2670
152	480	2660
153	482	2651
154	485	2644
155	487	2635
156	490	2631
157	492	2622
158	494	2613
159	496	2604
160	498	2596
161	500	2587
162	502	2578
163	504	2569
164	506	2563
165	508	2556
166	511	2549
167	513	2542
168	515	2534
169	517	2526
170	521	2529
171	523	2522
172	525	2514
173	527	2506
174	530	2498
175	532	2491
176	534	2484
177	536	2477
178	538	2469
179	540	2463
180	542	2456
181	545	2449
182	547	2443
183	550	2441
184	554	2441
185	557	2439
186	559	2431
187	561	2424
188	563	2417
189	565	2410
190	567	2403
191	570	2398
192	572	2393
193	574	2385
194	576	2379
195	578	2372
196	580	2366
197	582	2360
198	585	2357
199	587	2351
200	590	2345
201	592	2339
202	593	2332
203	595	2324
204	597	2318
205	599	2311
206	602	2307
207	605	2303
208	607	2298
209	609	2291
210	610	2284
211	612	2277
212	614	2272
213	617	2268
214	619	2263
215	621	2257
216	623	2250
217	625	2244
218	628	2239
219	630	2234
220	632	2229
221	634	2224
222	636	2219
223	639	2214
224	641	2207
225	642	2201
226	645	2197
227	647	2192
228	649	2186
229	651	2181
230	653	2176
231	655	2169
232	657	2163
233	659	2158
234	661	2152
235	663	2146
236	665	2142
237	667	2136
238	669	2130
239	671	2125
240	672	2119
241	675	2116
242	677	2111
243	679	2105
244	683	2107
245	686	2105
246	688	2100
247	691	2095
248	694	2095
249	697	2091
250	700	2088
251	702	2084
252	704	2079
253	707	2078
254	710	2074
255	712	2071
256	716	2071
257	722	2077
258	724	2072
259	726	2066
260	728	2062
261	730	2057
262	732	2052
263	734	2047
264	737	2044
265	739	2039
266	741	2036
267	743	2031
268	746	2027
269	747	2021
270	749	2016
271	751	2011
272	754	2010
273	757	2006
274	759	2002
275	761	1998
276	763	1993
277	765	1989
278	767	1983
279	771	1983
280	773	1980
281	775	1975
282	778	1971
283	780	1966
284	781	1961
285	784	1959
286	786	1954
287	788	1949
288	790	1944
289	792	1940
290	794	1935
291	796	1931
292	798	1926
293	801	1925
294	804	1921
295	806	1917
296	808	1912
297	810	1908
298	812	1904
299	814	1900
300	816	1895
301	818	1891
302	820	1888
303	823	1884
304	825	1880
305	827	1875
306	833	1881
307	835	1877
308	837	1873
309	840	1869
310	842	1865
311	844	1861
312	846	1857
313	848	1853
314	850	1848
315	852	1844
316	854	1840
317	855	1835
