customerid,loannumber,loanamount,totaldue,termdays,age,loan_interest,loan_received,amount_received,min_amount_received,max_amount_received,employment_status_clients_Permanent,employment_status_clients_Retired,employment_status_clients_Self-Employed,employment_status_clients_Student,employment_status_clients_Unemployed,level_of_education_clients_Graduate,level_of_education_clients_Post-Graduate,level_of_education_clients_Primary,level_of_education_clients_Secondary,level_of_education_clients_Undefined
8a28afc7474813a40147639ec637156b,11,25000,27500.0,30,32.61818181818182,10.0,10.0,178000.0,8000.0,30000.0,0,0,0,0,1,0,0,0,0,1
8a3735d5518aba7301518ac34413010d,7,20000,24500.0,30,32.61818181818182,22.5,6.0,70000.0,10000.0,20000.0,0,0,0,0,1,0,0,0,0,1
8a76e7d443e6e97c0143ed099d102b1d,6,20000,24500.0,30,32.61818181818182,22.5,2.0,20000.0,10000.0,10000.0,0,0,0,0,1,0,0,0,0,1
8a818823525dceef01525deda2480384,10,40000,48000.0,60,32.61818181818182,20.0,9.0,170000.0,5000.0,40000.0,0,0,0,0,1,0,0,0,0,1
8a818926522ea5ef01523aff15c37482,3,20000,24500.0,30,32.61818181818182,22.5,2.0,20000.0,10000.0,10000.0,0,0,0,0,1,0,0,0,0,1
8a8189f9526ad7de015280bef19d5811,13,10000,10500.0,15,32.61818181818182,5.0,12.0,230000.0,10000.0,40000.0,0,0,0,0,1,0,0,0,0,1
8a85880353acff880153b92f8599568b,7,30000,34500.0,30,32.61818181818182,15.0,6.0,110000.0,10000.0,30000.0,0,0,0,0,1,0,0,0,0,1
8a85880353acff880153b9993fe358d9,9,30000,34500.0,30,32.61818181818182,15.0,8.0,135000.0,10000.0,30000.0,0,0,0,0,1,0,0,0,0,1
8a85880353acff880153bd56e93f75ff,4,20000,24500.0,30,32.61818181818182,22.5,3.0,30000.0,10000.0,10000.0,0,0,0,0,1,0,0,0,0,1
8a85881053bc33670153bda8562417c7,2,10000,13000.0,30,32.61818181818182,30.0,1.0,10000.0,10000.0,10000.0,0,0,0,0,1,0,0,0,0,1
8a85881053bc33670153c79e8e84571a,2,10000,13000.0,30,33.0,30.0,1.0,5000.0,5000.0,5000.0,1,0,0,0,0,1,0,0,0,0
8a85881053bc33670153c7a0e6ee582e,12,40000,44000.0,30,40.0,10.0,11.0,290000.0,5000.0,40000.0,1,0,0,0,0,1,0,0,0,0
8a8588175489ef7701548cd088f2207b,3,10000,13000.0,30,32.61818181818182,30.0,2.0,20000.0,10000.0,10000.0,0,0,0,0,1,0,0,0,0,1
8a85881a5420ebf101543716beee1039,7,30000,39000.0,60,30.0,30.0,6.0,100000.0,10000.0,30000.0,1,0,0,0,0,0,0,0,0,1
8a8588235375c27f01537fd31b1f53cd,6,30000,34500.0,30,32.61818181818182,15.0,5.0,80000.0,10000.0,30000.0,0,0,0,0,1,0,0,0,0,1
8a8588235384a58d01539f23b1071fd9,14,40000,48000.0,60,32.61818181818182,20.0,13.0,260000.0,10000.0,40000.0,0,0,0,0,1,0,0,0,0,1
8a8588235384a58d0153a1e7fa6a5089,12,40000,44000.0,30,32.61818181818182,10.0,11.0,270000.0,10000.0,40000.0,0,0,0,0,1,0,0,0,0,1
8a8588235384a58d0153a80649f43890,9,30000,34500.0,30,32.61818181818182,15.0,8.0,130000.0,10000.0,30000.0,0,0,0,0,1,0,0,0,0,1
8a85882653d0bb500153d96597b72471,4,10000,13000.0,30,32.61818181818182,30.0,3.0,30000.0,10000.0,10000.0,0,0,0,0,1,0,0,0,0,1
8a85882953bc04f80153bc05a36c0003,14,40000,44000.0,30,32.61818181818182,10.0,13.0,330000.0,10000.0,40000.0,0,0,0,0,1,0,0,0,0,1
8a85883353d0c4e90153d24b9d0667bd,12,50000,52500.0,30,32.61818181818182,5.0,11.0,290000.0,10000.0,40000.0,0,0,0,0,1,0,0,0,0,1
8a85883353d0c4e90153d308b87e7f1a,13,40000,44000.0,30,32.61818181818182,10.0,12.0,330000.0,10000.0,40000.0,0,0,0,0,1,0,0,0,0,1
8a85883353e2e4e40153e615982440e2,8,10000,13000.0,30,32.61818181818182,30.0,7.0,90000.0,10000.0,20000.0,0,0,0,0,1,0,0,0,0,1
8a85883353e2e4e40153eca57a9855c6,13,25000,27500.0,30,26.0,10.0,12.0,200000.0,10000.0,40000.0,1,0,0,0,0,1,0,0,0,0
8a85884e548fad6501549e6d40590168,13,30000,34500.0,30,31.0,15.0,12.0,240000.0,10000.0,30000.0,1,0,0,0,0,1,0,0,0,0
8a85884e54a0565b0154a05a7dd10159,6,10000,11500.0,15,32.61818181818182,15.0,5.0,60000.0,10000.0,20000.0,0,0,0,0,1,0,0,0,0,1
8a85884e54be33290154c3f438574c05,7,25000,28750.0,30,32.61818181818182,15.0,6.0,110000.0,5000.0,30000.0,0,0,0,0,1,0,0,0,0,1
8a85886e54beabf90154cabe9155402d,8,30000,39000.0,60,32.61818181818182,30.0,7.0,100000.0,10000.0,20000.0,0,0,0,0,1,0,0,0,0,1
8a85886f543912e301543dfa84bb3132,11,15000,16687.5,15,32.61818181818182,11.25,10.0,170000.0,10000.0,30000.0,0,0,0,0,1,0,0,0,0,1
